ID,RR_C,RR_L,date
55125950200,1.74,1.41,2021-12-01
55027960300,1.74,1.06,2021-12-01
55063010101,1.74,1.45,2021-12-01
55117010602,1.74,1.54,2021-12-01
55027960500,1.74,0.94,2021-12-01
55095960900,1.74,1.93,2021-12-01
55109120800,1.74,2.3,2021-12-01
55021970300,1.74,1.74,2021-12-01
55121100600,1.74,1.14,2021-12-01
55057100600,1.74,2.13,2021-12-01
55013970900,1.74,2.22,2021-12-01
55095960200,1.74,2.22,2021-12-01
55117000300,1.74,1.8,2021-12-01
55117000202,1.74,1.06,2021-12-01
55093960100,1.74,1.74,2021-12-01
55013971000,1.74,1.7,2021-12-01
55109120600,1.74,2.92,2021-12-01
55095960700,1.74,2.06,2021-12-01
55021970500,1.74,1.39,2021-12-01
55117000100,1.74,1.25,2021-12-01
55021970200,1.74,1.59,2021-12-01
55117010700,1.74,1.54,2021-12-01
55081950800,1.74,1.42,2021-12-01
55117010502,1.74,1.43,2021-12-01
55117010501,1.74,1.83,2021-12-01
55039041100,1.74,1.02,2021-12-01
55117010300,1.74,1.0,2021-12-01
55121100300,1.74,1.46,2021-12-01
55057100500,1.74,2.37,2021-12-01
55001950700,1.74,1.59,2021-12-01
55095960300,1.74,2.31,2021-12-01
55077960400,1.74,1.45,2021-12-01
55117010400,1.74,0.93,2021-12-01
55109120700,1.74,2.22,2021-12-01
55011960100,1.74,0.94,2021-12-01
55095961000,1.74,2.61,2021-12-01
55033970600,1.74,2.13,2021-12-01
55117010100,1.74,1.69,2021-12-01
55095960600,1.74,2.05,2021-12-01
55039041800,1.74,1.29,2021-12-01
55117010200,1.74,1.19,2021-12-01
55081950400,1.74,1.46,2021-12-01
55057100700,1.74,1.73,2021-12-01
55121100800,1.74,1.3,2021-12-01
55081950300,1.74,1.43,2021-12-01
55039041900,1.74,1.44,2021-12-01
55117000201,1.74,1.84,2021-12-01
55021970100,1.74,1.37,2021-12-01
55117000400,1.74,1.63,2021-12-01
